labels,movie_name,nums,ranking,rate,score,score_num,title
"[['剧情', '历史', '悬疑']]",,4894070,,9.2,,2010,黎明之前‎ (2010)
"[['喜剧', '动作', '古装']]",,2210236,,8.1,,1985,济公‎ (1985)
"[['剧情', '历史']]",,21759697,,8.8,,2013,舞乐传奇‎ (2013)
"[['剧情', '犯罪']]",,2190981,,8.3,,2001,重案六组‎ (2001)
"[['剧情', '家庭']]",,2222629,,8.3,,2007,金婚‎ (2007)
"[['剧情', '爱情']]",,27083552,,6.2,,2018,许你浮生若梦‎ (2018)
[['剧情']],,2248529,,9.0,,2003,大染坊‎ (2003)
"[['剧情', '儿童', '科幻']]",,2147630,,8.1,,2004,快乐星球 第一部‎ (2004)
"[['悬疑', '冒险']]",,25907063,,4.2,,2015,盗墓笔记 第一季‎ (2015)
"[['爱情', '奇幻']]",,30158965,,6.5,,2018,我与你的光年距离2‎ (2018)
[['剧情']],,30263199,,4.3,,2018,岁岁年年柿柿红‎ (2018)
"[['爱情', '古装']]",,27080949,,6.2,,2017,双世宠妃‎ (2017)
[['喜剧']],,2349361,,8.6,,2002,炊事班的故事‎ (2002)
"[['剧情', '爱情']]",,2189642,,8.4,,1993,北京人在纽约‎ (1993)
"[['剧情', '喜剧', '爱情']]",,2244363,,7.6,,2003,粉红女郎‎ (2003)
"[['剧情', '喜剧', '古装']]",,2248758,,7.7,,2002,铁齿铜牙纪晓岚2‎ (2002)
"[['剧情', '爱情']]",,2153480,,8.1,,2001,像雾像雨又像风‎ (2001)
"[['剧情', '爱情']]",,26974046,,7.2,,2018,为了你我愿意热爱整个世界‎ (2018)
"[['剧情', '喜剧', '动画']]",,30243303,,8.9,,2018,剑网3·侠肝义胆沈剑心‎ (2018)
,,,,,26827972,,
,,,,,3732699,,
,,,,,25711530,,
,,,,,1931974,,
,,,,,4917905,,
,,,,,6890741,,
,,,,,5031441,,
,,,,,27148208,,
,,,,,2245679,,
,,,,,24732881,,
,,,,,10484007,,
,,,,,30346836,,
,,,,,27203019,,
,,,,,27594303,,
,,,,,2155290,,
,,,,,27160612,,
,,,,,5916347,,
,,,,,30230181,,
,,,,,2229479,,
,,,,,6018955,,
"[['剧情', '历史', '战争', '悬疑']]",,6965622,,8.3,,2012,悬崖‎ (2012)
"[['动作', '奇幻']]",,3732699,,6.9,,2010,神话‎ (2010)
[['剧情']],,6890741,,7.9,,2012,错点鸳鸯戏点鸳鸯‎ (2012)
[['爱情']],,1931974,,8.7,,2004,血色浪漫‎ (2004)
"[['剧情', '爱情']]",,26827972,,5.7,,2018,恋爱先生‎ (2018)
"[['剧情', '历史', '爱情', '奇幻', '古装']]",,4917905,,5.7,,2011,宫‎ (2011)
"[['历史', '动画']]",,30346836,,8.1,,2018,如果历史是一群喵‎ (2018)
"[['喜剧', '爱情']]",,27203019,,6.6,,2018,想看你微笑‎ (2018)
"[['剧情', '爱情']]",,25711530,,7.2,,2014,离婚律师‎ (2014)
"[['爱情', '古装']]",,10484007,,6.8,,2013,陆贞传奇‎ (2013)
"[['爱情', '古装']]",,24732881,,6.2,,2018,独孤天下‎ (2018)
"[['剧情', '动作', '奇幻']]",,2245679,,7.4,,2000,西游记后传‎ (2000)
"[['剧情', '动画', '奇幻']]",,27148208,,8.1,,2018,西行纪‎ (2018)
"[['剧情', '奇幻', '古装']]",,2229479,,7.6,,2003,穿越时空的爱恋‎ (2003)
"[['剧情', '喜剧', '爱情', '家庭']]",,5031441,,8.2,,2011,家，N次方‎ (2011)
"[['科幻', '动画']]",,30230181,,7.9,,2018,小绿和小蓝‎ (2018)
"[['剧情', '历史']]",,6018955,,9.1,,2012,我们的法兰西岁月‎ (2012)
"[['剧情', '爱情']]",,5916347,,8.1,,2012,心术‎ (2012)
"[['剧情', '爱情', '武侠']]",,2155290,,8.1,,2001,笑傲江湖‎ (2001)
"[['剧情', '家庭']]",,27594303,,3.9,,2018,姥姥的饺子馆‎ (2018)
"[['剧情', '动作', '悬疑']]",,27160612,,7.3,,2018,悍城‎ (2018)
,,,,,26322642,,
,,,,,2377277,,
,,,,,2382364,,
,,,,,27034587,,
,,,,,30337864,,
,,,,,2375707,,
,,,,,2157146,,
,,,,,2303259,,
,,,,,2153389,,
,,,,,27026077,,
,,,,,30331440,,
,,,,,27186648,,
,,,,,5318129,,
,,,,,26974779,,
,,,,,4861422,,
,,,,,26776469,,
,,,,,20501094,,
,,,,,27018233,,
,,,,,4135704,,
,,,,,26661003,,
"[['剧情', '传记']]",,2382364,,8.3,,2006,乔家大院‎ (2006)
"[['喜剧', '爱情']]",,27034587,,2.7,,2018,甜蜜暴击‎ (2018)
"[['剧情', '动作', '悬疑', '古装']]",,2377277,,8.4,,2006,神探狄仁杰2‎ (2006)
"[['剧情', '喜剧', '武侠', '古装']]",,4861422,,8.3,,2010,怪侠一枝梅‎ (2010)
"[['动画', '奇幻', '武侠']]",,30337864,,8.3,,2018,星辰变‎ (2018)
[['剧情']],,26322642,,5.4,,2017,猎场‎ (2017)
